R,C_zz,C_xx,Var_C_zz,Var_C_xx,C_xxpp,Var_C_xxpp
1.0,-0.1038691511376916,-0.13880873967953214,1.1617219016109293e-7,1.6504236545478168e-7,0.056858114661008076,7.827822507211826e-7
3.0,-0.01083087181672717,-0.042793199436579596,6.825554032631259e-8,6.701413156427055e-7,0.02716443997001493,6.084575953155128e-7
5.0,-0.003546430592624501,-0.02261565052092034,2.9010152397002266e-8,5.384083148776914e-7,0.01656929966981384,4.6183484500144636e-7
7.0,-0.0017095690289481058,-0.014485651658600902,1.379323422788659e-8,4.0370952540669247e-7,0.011386669044031366,3.399509229915518e-7
9.0,-0.0010006824191738282,-0.010236307002258513,7.920677916172966e-9,3.050594524489365e-7,0.008392200392285798,2.639763087732813e-7
11.0,-0.000664444185507696,-0.007690112639690145,5.536831100301381e-9,2.3560169363592864e-7,0.006473904045173059,2.059208764593044e-7
13.0,-0.0004776467316653883,-0.006019832604403166,4.03496537661589e-9,1.8845211048765053e-7,0.0051626763195491065,1.642854503567489e-7
15.0,-0.0003573603380875274,-0.004851693853736087,3.159110444807981e-9,1.5335352914219944e-7,0.004220311336369698,1.3513796997252826e-7
17.0,-0.0002803872377091277,-0.003998964340335027,2.4874625605662947e-9,1.2420696759763255e-7,0.0035163463999914337,1.1219409452795768e-7
19.0,-0.00022464904536729412,-0.0033556213611312413,2.1220929519732954e-9,1.0555550712022273e-7,0.002976011765142428,9.490996660859622e-8
23.0,-0.00015309467337494637,-0.0024621214181612954,1.5049000473774781e-9,7.979278521432649e-8,0.0022118844843527423,7.143526172287292e-8
27.0,-0.00011165922803157532,-0.0018864711004456026,1.078519585725738e-9,6.050170956459685e-8,0.0017152099574642482,5.450794998345946e-8
31.0,-8.364273618687239e-5,-0.0014918658444532068,8.106306174181691e-10,4.6412058454694067e-8,0.001368027149091863,4.235540468322569e-8
35.0,-6.485257982564836e-5,-0.001209354644109485,5.877155412582283e-10,3.716242899294805e-8,0.001116287953569414,3.395941249641272e-8
39.0,-5.4067667548101455e-5,-0.0010031484661195988,5.168813977091618e-10,3.146089568964677e-8,0.0009290608822384379,2.84454864352833e-8
45.0,-4.0599913707903984e-5,-0.000778230380569935,3.9264815211015564e-10,2.4949618789220685e-8,0.0007245913664881232,2.267054733583173e-8
53.0,-2.8786400600901645e-5,-0.0005759156968039952,2.8740382298107737e-10,1.784882694411123e-8,0.0005386851789560435,1.592223485121544e-8
61.0,-2.1602829863216357e-5,-0.0004438025335394142,2.131331727802614e-10,1.3505925580614888e-8,0.00041930935696184933,1.2215162872718466e-8
69.0,-1.7118307387231914e-5,-0.00035186853170228065,1.629994603631044e-10,9.948741230522762e-9,0.0003329072226248925,8.933542009426668e-9
79.0,-1.3111211120950387e-5,-0.0002706804069436495,1.3439832420513147e-10,7.2353521137534325e-9,0.0002566423523863278,6.643648807272635e-9
91.0,-9.947264580187081e-6,-0.00020494541616653602,1.017466268948671e-10,5.603878010499902e-9,0.0001951512147263491,5.246255746993656e-9
105.0,-7.015510113996426e-6,-0.00015373569502606738,7.711605945439447e-11,4.3272005655970396e-9,0.00014709204572072246,3.947777112209037e-9
121.0,-5.449221636212127e-6,-0.00011765850081752283,6.295010075396366e-11,3.1297455070779104e-9,0.00011307953063672378,2.91709648442832e-9
139.0,-4.203258145901195e-6,-8.84376499555897e-5,4.719578952145707e-11,2.4052388211255004e-9,8.438034316879793e-5,2.1865962005241847e-9
159.0,-3.111736487334388e-6,-6.621525743825057e-5,3.095059117159717e-11,1.677261381848153e-9,6.356031527154941e-5,1.5386216430338256e-9
181.0,-2.389984092768781e-6,-5.018684910878028e-5,2.1871700871883062e-11,1.3967225335764502e-9,4.824435129432746e-5,1.2969368962628688e-9
