R,C_zz,C_xx,Var_C_zz,Var_C_xx,C_xxpp,Var_C_xxpp
1.0,-0.10326113836901214,-0.14582787667533356,7.232075722833631e-8,9.795621746730432e-8,0.07124510578099688,4.945036800743999e-7
3.0,-0.010791375949315523,-0.05454932475225734,3.4093096659741856e-8,5.142057607197305e-7,0.03833038278708788,5.686863250606387e-7
5.0,-0.003718221493790923,-0.031883356561786355,1.5401723366129458e-8,5.355040662224312e-7,0.024807692602974215,5.268565804940773e-7
7.0,-0.0018506895788091549,-0.021525861394097404,9.02568133336223e-9,4.910905645624472e-7,0.017623203822835214,4.6005452491765415e-7
9.0,-0.0011017898188512068,-0.01569681333119541,5.685169642598679e-9,4.235372252072919e-7,0.013260845567447894,3.864164537297702e-7
11.0,-0.000726651242706685,-0.01202090741576124,4.114739412122068e-9,3.593777207345605e-7,0.010378980485579066,3.2734972770625257e-7
13.0,-0.000515321935654647,-0.009536374881491158,3.0690933449021604e-9,3.018426391982002e-7,0.008366258503917973,2.7458378098492897e-7
15.0,-0.00038635355196627686,-0.007766165085461458,2.466875044308917e-9,2.557152090738396e-7,0.006898425172433198,2.3453127509094856e-7
17.0,-0.000297666042299077,-0.006454667249028521,1.8599412579350742e-9,2.1791015163664197e-7,0.0057901927135638595,2.0079582668602273e-7
19.0,-0.00023764628262023073,-0.005457194589009203,1.479291465962234e-9,1.8711810835367386e-7,0.004936195512592135,1.713560603711004e-7
23.0,-0.00016172798679642058,-0.0040573315713314535,1.1263209940964014e-9,1.4234766334669238e-7,0.003716378634325515,1.3299528187084513e-7
27.0,-0.00011815367342200797,-0.0031395145017787574,8.334402570048571e-10,1.1220463949304936e-7,0.002900843247490325,1.0380937624675328e-7
31.0,-8.85909972747918e-5,-0.0024997456620589106,6.355383360186466e-10,9.023071773096142e-8,0.0023272833279780088,8.355343059698139e-8
35.0,-6.94488603512662e-5,-0.0020379175341724157,5.006633893405586e-10,7.36104281311306e-8,0.001906957802653395,6.86125075717373e-8
39.0,-5.676106269257402e-5,-0.0016924080757764243,4.149225813244096e-10,6.038958841279623e-8,0.0015907857044406034,5.6251821616165044e-8
45.0,-4.228130512277449e-5,-0.0013150032331099054,3.1020884417410713e-10,4.809950925201436e-8,0.0012423100936066577,4.542484215691363e-8
53.0,-2.9432349081843264e-5,-0.0009740095294777452,2.2550735595695345e-10,3.535916110166629e-8,0.0009255172985495841,3.317362704760759e-8
61.0,-2.1836472700280983e-5,-0.0007513258612374674,1.7084421444583351e-10,2.6852106351804992e-8,0.0007184343866667834,2.557216486906062e-8
69.0,-1.8080254944499454e-5,-0.0006010856944207041,1.5606765443476382e-10,2.1629749081303363e-8,0.0005760749043752754,2.0632586326432685e-8
79.0,-1.3317804378610572e-5,-0.0004654832328946297,1.0098929774985053e-10,1.679816202818438e-8,0.00044744159046916816,1.581026615859524e-8
91.0,-1.0055920544032223e-5,-0.0003534437754877077,7.626714690346342e-11,1.2537609553648197e-8,0.00033993594076354094,1.1924222427727425e-8
105.0,-7.140776382357373e-6,-0.00026558218259169013,5.64766600260621e-11,9.411774715990326e-9,0.0002576549139790503,8.953649939094191e-9
121.0,-5.417258678247801e-6,-0.00020262645007224325,3.94526749205669e-11,7.174764411817209e-9,0.0001963612586655286,6.793396010150618e-9
139.0,-4.388362118872326e-6,-0.00015273496988893137,3.59588259119751e-11,5.205729039951077e-9,0.00014800468341474637,4.91532203332414e-9
159.0,-3.0672449164609222e-6,-0.00011506590720262625,2.1644528144127574e-11,4.1013964005442985e-9,0.00011198629766302274,3.9005272226483536e-9
181.0,-2.748619167907206e-6,-8.888115176464742e-5,2.6286092804233007e-11,2.876668296457589e-9,8.640040576177951e-5,2.7347846783441537e-9
