R,Corr_x_p,Corr_x,Corr_x_m,Corr_z_p,Corr_z,Corr_z_m
1.0,0.24388449943351037,0.04518596452545419,0.1379804759470787,-0.003938835089703167,-0.008167085560382419,-0.14439751576304638
2.0,0.030612450333565463,0.04408062535884301,0.024939123565399936,4.981877518478269e-23,-6.444194006242134e-23,-5.658142076932434e-22
3.0,0.03014657389886518,0.009934755858553362,0.024926423414922867,-5.820915569553655e-5,-8.557219854738947e-5,-0.00019341159148213865
4.0,0.009751545749914907,0.009783563497648957,0.005617840696184861,5.556430583004287e-23,9.059130570310494e-22,-5.765931242160927e-23
5.0,0.009455729349965627,0.004293604371238412,0.00553448141418576,-1.8976405265581625e-5,-1.2751329689203191e-5,-6.271996182930706e-6
6.0,0.006080087595971018,0.004163356447424147,0.00242885668378358,-1.4065957864475617e-23,1.3282411780674078e-21,2.9452834504064446e-22
7.0,0.006064198857841378,0.003685293804221398,0.0023552661659773035,-2.452506249508593e-6,-1.457967803921103e-5,-1.5817500916820207e-6
8.0,0.003148752522645875,0.0036756632409668715,0.0020848197646249175,-6.148411923930036e-23,-3.543163271244731e-22,4.23791204988408e-22
9.0,0.002842401708862813,0.0024827983106799267,0.0020794407486760488,-8.920583201886189e-8,-5.317133673843343e-6,-2.381687297903023e-6
10.0,0.0018094749698331295,0.0022412400181606807,0.0014045987457256366,-7.115810257394622e-23,-1.6086071001335017e-21,-1.14549925435472e-22
11.0,0.002106993555555829,0.0014661628695856518,0.0012679539619686265,-1.1494556057599043e-8,-2.3203456377615466e-7,-1.0868344622658061e-6
12.0,0.00040982641154206883,0.0017072331859318817,0.0008294636024338287,-2.8428153133544476e-23,-1.6584333026655742e-21,-5.1513972892889805e-22
13.0,0.0003999887664940598,0.00042942899521462196,0.0009658476320162462,-2.6419723099462045e-8,-9.897934210155364e-8,-4.932491190876381e-8
14.0,0.00028722696053212966,0.00041912080152757124,0.00024294453831200747,7.014214140928044e-24,-7.041687118435922e-22,-5.271690603122398e-22
15.0,0.000277729197904129,0.00048547645588767867,0.00023711281069470138,-1.0292490564426164e-8,-4.0752264319515887e-7,-2.740053628803014e-8
16.0,0.0001603912859150126,0.00046942315737084813,0.000274652764935737,-1.1345928140985626e-23,1.7273845876256228e-22,-2.2373210021784195e-22
17.0,0.00016702968032252083,0.0003783487007930897,0.0002655708125327499,-2.0239256297615976e-7,-2.1652753748554753e-7,-1.22591414074725e-7
18.0,0.00029762940501646475,0.0003940080795748254,0.00021404647451372415,-1.7870399521648506e-23,-2.779403931545876e-22,5.480672578480062e-23
19.0,0.00022458172526661262,0.0011476678512090874,0.00022290559185672291,-1.7712516342621004e-7,-4.61227569500297e-6,-6.774066627324119e-8
20.0,0.0002903658815252656,0.0008659938222276949,0.0006492800399036295,1.3735070639348256e-23,-4.376157063259027e-22,-8.878390153417744e-23
21.0,0.00020040857723585125,0.0011396953690145084,0.000489926162295276,-1.0216321520600152e-7,-4.044668047491626e-6,-1.4563409548617339e-6
22.0,0.00022446063315599012,0.0007866100734242496,0.0006447697015789631,-2.2405031513220526e-23,3.364137718193721e-22,-1.3960759985689045e-22
23.0,0.0001622918878164644,0.0008863498927581914,0.00044501571289301447,-5.383800674023886e-8,-2.3371533586240962e-6,-1.2774148335327614e-6
24.0,0.00016889213940409595,0.0006408580219128228,0.0005014423826043437,-2.881219444446688e-23,-5.487168080594808e-22,1.073326743212927e-22
25.0,0.00010267952414508633,0.0006703256845895097,0.0003625581586890284,-5.627625475507587e-9,-1.2382271690506757e-6,-7.382932417701193e-7
26.0,8.87660364538676e-5,0.0004075306438696865,0.00037922915469067045,3.2634715973118286e-23,-7.060804489012844e-22,-1.7489530502204168e-22
27.0,7.709896968417244e-5,0.0003526353356942809,0.00023055585961220508,-6.488890796201014e-9,-1.2989277480271815e-7,-3.9140270409508457e-7
28.0,9.175050757751753e-5,0.0003062863020857201,0.0001994994589330341,4.534305770992366e-22,7.9903281876379865e-22,-2.249707505958877e-22
29.0,0.00046631457657122594,0.0003646409600477055,0.00017327802045014135,-8.991694738864519e-13,-1.4989129220262084e-7,-4.107734224640493e-8
30.0,7.314603326323424e-5,0.001853258356543817,0.00020629150994294922,2.6027802796339965e-23,1.1105668684747682e-20,2.5495841875116623e-22
31.0,7.381542421693234e-5,0.00029078238360835104,0.0010484601584007157,-5.244194899123728e-13,-2.0884396585410006e-11,-4.740642502863837e-8
32.0,1.2808197604961179e-5,0.0002934434588355163,0.00016450687671346338,-2.8801594992850095e-24,6.380975292104009e-22,3.541321663591601e-21
33.0,1.2734016576386846e-5,5.115143962449656e-5,0.00016601235022617783,-2.0256007097676862e-11,-1.2552376742791158e-11,-6.610289042495369e-12
34.0,2.258580939735513e-5,5.0855186668270055e-5,2.8938354063891412e-5,-5.542926953690641e-23,-7.108480145603645e-23,2.037473035500757e-22
35.0,2.2697829811396188e-5,9.145466817807893e-5,2.8770752272010717e-5,-5.772051924151422e-13,-4.872081202755383e-10,-3.990460944906732e-12
36.0,2.6475033781629436e-6,9.19082622740468e-5,5.173945421602671e-5,2.2574967593294106e-24,-1.3576662783448239e-21,-2.2663546071103493e-23
37.0,2.6015420819262475e-6,1.1044730912460545e-5,5.19960699968065e-5,-3.806443517576254e-12,-1.4126833037302688e-11,-1.549946505133652e-10
